repeat,subject,model,phase,MAE
0,NV044,timestamp_lstm,Loading Response,4.964259584744771
0,NV044,timestamp_lstm,Mid Stance,4.382875162694189
0,NV044,timestamp_lstm,Terminal Stance,4.730562940239906
0,NV044,timestamp_lstm,Pre- Swing,5.597841418451733
0,NV044,timestamp_lstm,Initial Swing,5.541626716653506
0,NV044,timestamp_lstm,Mid Swing,5.5846456123722925
0,NV044,timestamp_lstm,Terminal Swing,5.813381695085102
0,NV045,timestamp_lstm,Loading Response,3.9003191888332367
0,NV045,timestamp_lstm,Mid Stance,3.141288720899158
0,NV045,timestamp_lstm,Terminal Stance,3.838214615980784
0,NV045,timestamp_lstm,Pre- Swing,6.340397947364384
0,NV045,timestamp_lstm,Initial Swing,4.56382221645779
0,NV045,timestamp_lstm,Mid Swing,4.947170310550266
0,NV045,timestamp_lstm,Terminal Swing,4.469396481911342
0,NV044,pv_lstm,Loading Response,4.603934301270379
0,NV044,pv_lstm,Mid Stance,4.673226041926278
0,NV044,pv_lstm,Terminal Stance,4.558651076422797
0,NV044,pv_lstm,Pre- Swing,4.800485316250059
0,NV044,pv_lstm,Initial Swing,6.322898281945123
0,NV044,pv_lstm,Mid Swing,7.329780767361323
0,NV044,pv_lstm,Terminal Swing,5.852369232310189
0,NV045,pv_lstm,Loading Response,4.2357789642281
0,NV045,pv_lstm,Mid Stance,4.139354583289888
0,NV045,pv_lstm,Terminal Stance,3.6507959498299494
0,NV045,pv_lstm,Pre- Swing,5.914434797234005
0,NV045,pv_lstm,Initial Swing,4.668804493215349
0,NV045,pv_lstm,Mid Swing,4.384139517943065
0,NV045,pv_lstm,Terminal Swing,4.031406127744251
0,NV044,timestamp_cnn,Loading Response,4.869205080800587
0,NV044,timestamp_cnn,Mid Stance,4.498449875248803
0,NV044,timestamp_cnn,Terminal Stance,5.1505548192395105
0,NV044,timestamp_cnn,Pre- Swing,5.363553303811285
0,NV044,timestamp_cnn,Initial Swing,5.443226776189274
0,NV044,timestamp_cnn,Mid Swing,5.083921104669571
0,NV044,timestamp_cnn,Terminal Swing,5.114750901858012
0,NV045,timestamp_cnn,Loading Response,3.5668821500407324
0,NV045,timestamp_cnn,Mid Stance,2.983760886722141
0,NV045,timestamp_cnn,Terminal Stance,4.426799022489124
0,NV045,timestamp_cnn,Pre- Swing,5.662368290954166
0,NV045,timestamp_cnn,Initial Swing,5.15450092819002
0,NV045,timestamp_cnn,Mid Swing,3.919593827592002
0,NV045,timestamp_cnn,Terminal Swing,4.308881286117765
0,NV044,pv_cnn,Loading Response,4.874883234500885
0,NV044,pv_cnn,Mid Stance,4.578449077076382
