repeat,subject,model,MAE,RMSE,R2,sag_MAE,sag_RMSE,sag_R2
0,NV044,timestamp_lstm,5.128938674926758,5.850208759307861,-1.2176365852355957,6.832866668701172,8.009686470031738,0.48494383692741394
0,NV045,timestamp_lstm,4.2469000816345215,5.1141839027404785,0.20121243596076965,5.208617210388184,6.280081272125244,0.7554075121879578
0,NV044,pv_lstm,5.426662445068359,6.253859996795654,-1.7978395223617554,6.558016300201416,8.006134986877441,0.5593132376670837
0,NV045,pv_lstm,4.267252445220947,5.2082648277282715,0.2152930051088333,5.450120449066162,6.695601940155029,0.7194797992706299
0,NV044,timestamp_cnn,5.039366722106934,5.723567008972168,-2.3645193576812744,5.526284694671631,6.598611354827881,0.6882333159446716
0,NV045,timestamp_cnn,4.1660590171813965,5.060974597930908,0.25342079997062683,5.271580219268799,6.427282333374023,0.752631425857544
0,NV044,pv_cnn,5.147739410400391,5.7939066886901855,-2.9592342376708984,5.376228332519531,6.376458644866943,0.6979895234107971
0,NV045,pv_cnn,3.988825798034668,4.780261993408203,0.365653932094574,5.2698235511779785,6.286630153656006,0.7644652724266052
1,NV031,timestamp_lstm,9.792147636413574,11.413127899169922,-3.8606414794921875,9.093600273132324,12.03366470336914,0.30476197600364685
1,NV043,timestamp_lstm,5.1165618896484375,6.264412879943848,-0.5091156363487244,6.411809921264648,8.12380599975586,0.6830291748046875
1,NV031,pv_lstm,9.179064750671387,10.864163398742676,-3.28379225730896,8.901226043701172,12.037257194519043,0.3694852292537689
1,NV043,pv_lstm,4.8410162925720215,5.916208267211914,-0.49157005548477173,5.55090856552124,7.0947346687316895,0.748829185962677
1,NV031,timestamp_cnn,8.059974670410156,9.624210357666016,-2.3644027709960938,8.391454696655273,10.944085121154785,0.48740437626838684
1,NV043,timestamp_cnn,4.610101222991943,5.583452224731445,-0.4739297330379486,5.360148906707764,6.625537395477295,0.7729726433753967
1,NV031,pv_cnn,8.00332260131836,9.51552677154541,-2.765793800354004,7.657385349273682,10.103228569030762,0.5346969962120056
1,NV043,pv_cnn,4.833197593688965,5.82166862487793,-0.436977744102478,6.015234470367432,7.270185947418213,0.7544615864753723
2,NV036,timestamp_lstm,5.536066055297852,6.276808261871338,-1.8984143733978271,5.755738735198975,6.8061041831970215,0.3823108673095703
2,NV039,timestamp_lstm,5.948866844177246,6.95661735534668,-1.9250178337097168,7.19038200378418,8.803370475769043,0.6093258857727051
2,NV036,pv_lstm,5.7120137214660645,6.410701751708984,-1.500491976737976,7.0724005699157715,8.013487815856934,0.31696727871894836
2,NV039,pv_lstm,5.280473709106445,6.045752048492432,-2.023153305053711,4.975440502166748,6.00731897354126,0.8111246228218079
2,NV036,timestamp_cnn,5.821186542510986,6.347835540771484,-1.800168514251709,5.7480244636535645,6.398355484008789,0.5833113193511963
2,NV039,timestamp_cnn,5.349618911743164,6.296321868896484,-2.349270820617676,5.888740062713623,7.594383239746094,0.7152568697929382
2,NV036,pv_cnn,5.144471168518066,5.793148994445801,-1.5858092308044434,4.161632061004639,5.030028820037842,0.7276056408882141
2,NV039,pv_cnn,5.608156681060791,6.51288366317749,-2.050809144973755,5.514458179473877,7.0625691413879395,0.7293829917907715
3,NV033,timestamp_lstm,5.468629837036133,6.691282272338867,-0.43098926544189453,9.392776489257812,11.414433479309082,0.40083909034729004
3,NV046,timestamp_lstm,3.2446255683898926,3.9190406799316406,-0.14496517181396484,4.262614727020264,5.06873083114624,0.8469316363334656
3,NV033,pv_lstm,4.699243068695068,5.87774133682251,-0.052986398339271545,7.760900497436523,9.70497989654541,0.5370780825614929
3,NV046,pv_lstm,3.352109670639038,4.058201313018799,-0.007350269239395857,4.455804347991943,5.404283046722412,0.8088570237159729
3,NV033,timestamp_cnn,4.441885471343994,5.426426410675049,-0.12745019793510437,7.555969715118408,9.029026985168457,0.6490709781646729
3,NV046,timestamp_cnn,2.758056879043579,3.3044309616088867,0.38292795419692993,3.9396212100982666,4.735025405883789,0.842292308807373
3,NV033,pv_cnn,4.510823726654053,5.38326358795166,-0.22441816329956055,7.17218542098999,8.322029113769531,0.6961900591850281
3,NV046,pv_cnn,2.701930046081543,3.2474477291107178,0.49064916372299194,4.040832996368408,4.858932971954346,0.8222062587738037
4,NV038,timestamp_lstm,7.850550174713135,8.957592964172363,-3.355944871902466,7.813808917999268,9.397627830505371,0.028276780620217323
4,NV042,timestamp_lstm,4.004435062408447,4.82049036026001,0.07767607271671295,3.9768638610839844,4.9473185539245605,0.8550477027893066
4,NV038,pv_lstm,6.561403274536133,7.467472553253174,-2.9248414039611816,5.406667232513428,6.471418380737305,0.5887346863746643
4,NV042,pv_lstm,3.9029252529144287,4.782592296600342,0.10181176662445068,3.9604060649871826,5.11838960647583,0.8373479843139648
4,NV038,timestamp_cnn,6.52398157119751,7.692597389221191,-2.6914281845092773,4.670603275299072,5.856532573699951,0.6234307289123535
4,NV042,timestamp_cnn,3.7781050205230713,4.62074613571167,0.09389347583055496,3.2434656620025635,4.175233840942383,0.8994066119194031
4,NV038,pv_cnn,6.860532760620117,7.921822547912598,-2.864131450653076,6.231906414031982,7.468747615814209,0.5529720187187195
4,NV042,pv_cnn,3.732921600341797,4.579421520233154,0.11160443723201752,3.1149609088897705,4.054849147796631,0.9031565189361572
5,NV037,timestamp_lstm,7.105535507202148,8.01738166809082,-2.2194716930389404,7.195562839508057,8.82773208618164,0.5774436593055725
5,NV041,timestamp_lstm,4.492874622344971,5.666598796844482,0.1382930427789688,4.831679821014404,6.164020538330078,0.730215311050415
5,NV037,pv_lstm,7.395138263702393,8.285258293151855,-2.1780710220336914,7.699493885040283,9.14299488067627,0.5550643801689148
5,NV041,pv_lstm,5.190668106079102,6.724778652191162,-0.10970921069383621,6.192979335784912,8.2933988571167,0.5333144068717957
5,NV037,timestamp_cnn,7.757210731506348,8.698284149169922,-1.6107115745544434,10.21194839477539,11.821242332458496,0.3235788345336914
5,NV041,timestamp_cnn,4.364858150482178,5.300086975097656,0.3744659125804901,4.774949550628662,5.836634159088135,0.7627683281898499
5,NV037,pv_cnn,7.039434432983398,7.825900554656982,-1.8792752027511597,7.376571178436279,8.727566719055176,0.5752378106117249
5,NV041,pv_cnn,4.036580562591553,5.025590419769287,0.43028736114501953,4.265104293823242,5.4677581787109375,0.7630760669708252
