repeat,subject,model,phase,MAE
0,NV044,timestamp_lstm,Loading Response,3.8142749865849814
0,NV044,timestamp_lstm,Mid Stance,3.263635045952267
0,NV044,timestamp_lstm,Terminal Stance,3.2436406248145633
0,NV044,timestamp_lstm,Pre- Swing,3.600710994667477
0,NV044,timestamp_lstm,Initial Swing,3.7564221819241843
0,NV044,timestamp_lstm,Mid Swing,3.58281652463807
0,NV044,timestamp_lstm,Terminal Swing,4.29541039135721
0,NV045,timestamp_lstm,Loading Response,3.3066731608576245
0,NV045,timestamp_lstm,Mid Stance,3.1329769359694586
0,NV045,timestamp_lstm,Terminal Stance,3.340141596065627
0,NV045,timestamp_lstm,Pre- Swing,3.2442420389917164
0,NV045,timestamp_lstm,Initial Swing,3.3419271873103247
0,NV045,timestamp_lstm,Mid Swing,3.398634726802508
0,NV045,timestamp_lstm,Terminal Swing,3.1792369104093976
0,NV044,pv_lstm,Loading Response,3.5184183849228754
0,NV044,pv_lstm,Mid Stance,3.3492506411340504
0,NV044,pv_lstm,Terminal Stance,3.8730558355649314
0,NV044,pv_lstm,Pre- Swing,4.496437913841671
0,NV044,pv_lstm,Initial Swing,5.479382425546646
0,NV044,pv_lstm,Mid Swing,5.092151969671249
0,NV044,pv_lstm,Terminal Swing,3.870637105570899
0,NV045,pv_lstm,Loading Response,3.377752592166265
0,NV045,pv_lstm,Mid Stance,3.163197851843304
0,NV045,pv_lstm,Terminal Stance,3.699846491217613
0,NV045,pv_lstm,Pre- Swing,3.1224713822205863
0,NV045,pv_lstm,Initial Swing,3.316947453551822
0,NV045,pv_lstm,Mid Swing,3.9660309851169586
0,NV045,pv_lstm,Terminal Swing,2.811867520213127
0,NV044,timestamp_cnn,Loading Response,4.474777738253276
0,NV044,timestamp_cnn,Mid Stance,3.7230593032307095
0,NV044,timestamp_cnn,Terminal Stance,3.7965582046243878
0,NV044,timestamp_cnn,Pre- Swing,4.5530631591876345
0,NV044,timestamp_cnn,Initial Swing,5.907161714302169
0,NV044,timestamp_cnn,Mid Swing,5.902836771474944
0,NV044,timestamp_cnn,Terminal Swing,5.0622006422943535
0,NV045,timestamp_cnn,Loading Response,3.4319480889373355
0,NV045,timestamp_cnn,Mid Stance,3.4148742887708874
0,NV045,timestamp_cnn,Terminal Stance,4.5897906720638275
