repeat,subject,model,MAE,RMSE,R2,sag_MAE,sag_RMSE,sag_R2
0,NV044,timestamp_lstm,3.59037446975708,4.1666765213012695,-0.6449757814407349,3.665926694869995,4.4394307136535645,0.8638103604316711
0,NV045,timestamp_lstm,3.2752010822296143,3.967212677001953,0.5279475450515747,4.2627034187316895,5.0142645835876465,0.8556842803955078
0,NV044,pv_lstm,4.177260875701904,4.82788610458374,-0.9446650743484497,4.755153656005859,5.785430431365967,0.7742130756378174
0,NV045,pv_lstm,3.369762897491455,4.097104072570801,0.5397903919219971,4.544081211090088,5.4537882804870605,0.8348503708839417
0,NV044,timestamp_cnn,4.663791179656982,5.437639236450195,-1.4050706624984741,5.108329772949219,6.38633918762207,0.7254352569580078
0,NV045,timestamp_cnn,4.074804782867432,4.896735191345215,0.35858768224716187,5.501133441925049,6.475681781768799,0.7796271443367004
0,NV044,pv_cnn,4.4965410232543945,5.205384254455566,-1.5821702480316162,4.18162202835083,5.334457874298096,0.784621000289917
0,NV045,pv_cnn,3.8136019706726074,4.567605018615723,0.38156020641326904,4.650912284851074,5.5524139404296875,0.8314871788024902
1,NV041,timestamp_lstm,3.290828227996826,4.107787132263184,0.600167989730835,3.553049325942993,4.3455891609191895,0.8780035376548767
1,NV046,timestamp_lstm,2.239147663116455,2.7541770935058594,0.5325911045074463,2.767357587814331,3.433720588684082,0.9354891777038574
1,NV041,pv_lstm,3.411665678024292,4.260179042816162,0.5986700057983398,3.788670539855957,4.7562479972839355,0.8620920777320862
1,NV046,pv_lstm,2.6133604049682617,3.170168161392212,0.44326069951057434,3.4970028400421143,4.256045341491699,0.9063844084739685
1,NV041,timestamp_cnn,4.090076923370361,5.048122406005859,0.4051908552646637,4.223320007324219,5.392753601074219,0.799401581287384
1,NV046,timestamp_cnn,3.1357221603393555,3.7024781703948975,0.043684497475624084,3.9076478481292725,4.662964344024658,0.8696653842926025
1,NV041,pv_cnn,4.213638782501221,5.133405685424805,0.4021531045436859,4.334778308868408,5.389163494110107,0.7927224040031433
1,NV046,pv_cnn,3.1008107662200928,3.703322410583496,0.13238652050495148,3.827549695968628,4.623287677764893,0.8677444458007812
2,NV039,timestamp_lstm,3.882923126220703,4.596581935882568,-0.9817075729370117,4.352200031280518,5.289815902709961,0.7938777804374695
2,NV044,timestamp_lstm,3.926072120666504,4.516976356506348,-0.7742087244987488,3.989309072494507,4.812375545501709,0.833927571773529
2,NV039,pv_lstm,4.152277946472168,4.855338096618652,-1.1773741245269775,4.348900318145752,5.244329929351807,0.7553744912147522
2,NV044,pv_lstm,4.14662504196167,4.761781215667725,-1.216229796409607,4.2972588539123535,5.201732635498047,0.8121945858001709
2,NV039,timestamp_cnn,4.601217269897461,5.372565746307373,-1.525658130645752,4.86416482925415,5.961859226226807,0.821673572063446
2,NV044,timestamp_cnn,4.912570476531982,5.682789325714111,-1.8502763509750366,5.447994232177734,6.630069732666016,0.6754457354545593
2,NV039,pv_cnn,4.881206035614014,5.603499889373779,-1.7799243927001953,5.405368804931641,6.3961663246154785,0.7985479235649109
2,NV044,pv_cnn,4.945045471191406,5.657778739929199,-2.425175666809082,5.462460994720459,6.584861755371094,0.6980739235877991
3,NV036,timestamp_lstm,3.781912088394165,4.377893924713135,-1.0045963525772095,3.416989326477051,4.296558380126953,0.8453662395477295
3,NV041,timestamp_lstm,3.695739269256592,4.7045135498046875,0.3710387647151947,3.3084309101104736,4.2602362632751465,0.886813223361969
3,NV036,pv_lstm,3.372070074081421,3.970994234085083,-0.6156871318817139,3.520540237426758,4.436273097991943,0.8674247860908508
3,NV041,pv_lstm,3.537821054458618,4.4204888343811035,0.520994246006012,3.579965353012085,4.478775978088379,0.881152331829071
3,NV036,timestamp_cnn,4.269018650054932,4.951142311096191,-1.411238670349121,4.055386066436768,5.0342183113098145,0.8149216175079346
3,NV041,timestamp_cnn,4.355095386505127,5.35582160949707,0.23990429937839508,4.486541271209717,5.55340576171875,0.7655913233757019
3,NV036,pv_cnn,4.032698154449463,4.71422815322876,-1.1563735008239746,3.70961594581604,4.675746440887451,0.8377305865287781
3,NV041,pv_cnn,4.089267730712891,5.024864673614502,0.41494324803352356,4.475168704986572,5.565785884857178,0.7648834586143494
4,NV033,timestamp_lstm,2.9608824253082275,3.7338948249816895,0.40687593817710876,4.560266494750977,5.715417861938477,0.8205946087837219
4,NV042,timestamp_lstm,2.8761558532714844,3.4987144470214844,0.46001332998275757,2.449920892715454,3.1173040866851807,0.9432991147041321
4,NV033,pv_lstm,3.3794150352478027,4.101339340209961,0.28444504737854004,5.59290075302124,6.724280834197998,0.7301109433174133
4,NV042,pv_lstm,2.911504030227661,3.596400737762451,0.5110310912132263,2.8454248905181885,3.6324727535247803,0.9330044388771057
4,NV033,timestamp_cnn,4.361356735229492,5.154248237609863,-0.12663081288337708,7.2004170417785645,8.3500337600708,0.6404352784156799
4,NV042,timestamp_cnn,3.604436159133911,4.387416839599609,0.18483291566371918,3.083402395248413,3.9250738620758057,0.9106852412223816
4,NV033,pv_cnn,4.515793800354004,5.308652877807617,0.0847935825586319,7.478980541229248,8.634458541870117,0.6546614766120911
4,NV042,pv_cnn,3.682487964630127,4.505712509155273,0.23879726231098175,3.5759384632110596,4.591100215911865,0.8691216111183167
