repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV044,timestamp_lstm,4.0,7.254693138259193,8.556240016113625,-9.544865974017693,6.0
0,NV045,timestamp_lstm,4.0,5.1895035129159215,6.498227458602819,-0.05156976346092473,4.0
0,NV044,pv_lstm,4.0,6.343480824075339,7.816405923489332,-2.586440286674465,2.0
0,NV045,pv_lstm,4.0,4.324084372539926,5.160212737056444,0.2842383925484917,0.0
0,NV044,timestamp_cnn,4.0,5.100221384887147,6.011719107283337,-1.7267154260944584,4.0
0,NV045,timestamp_cnn,4.0,4.05915298060609,4.91076667100408,0.3261990845613887,1.0
0,NV044,pv_cnn,4.0,5.156291116835333,6.021331393438493,-1.726562937501758,1.0
0,NV045,pv_cnn,4.0,3.96577324181525,4.729445715011205,0.3999092618604856,0.0
1,NV041,timestamp_lstm,4.0,9.306495332010112,10.636877956519468,-3.266629169641529,0.0
1,NV046,timestamp_lstm,3.0,6.668324599460989,7.7498488141691935,-4.335741249330849,6.0
1,NV041,pv_lstm,4.0,9.594144824021088,11.255920869412254,-3.325995263260699,-1.0
1,NV046,pv_lstm,3.0,4.316288959203561,5.278208573159894,-0.5557744972812872,0.0
1,NV041,timestamp_cnn,4.0,4.603155549001772,5.675996090907792,0.26179842778954654,1.0
1,NV046,timestamp_cnn,3.0,3.1993113648580147,3.7990211211917093,-0.005462386727865315,-1.0
1,NV041,pv_cnn,4.0,4.8235896121599975,5.897921460699262,0.22123446230022334,0.0
1,NV046,pv_cnn,3.0,3.439046124649432,4.099561646726445,-0.12520761253139184,1.0
2,NV039,timestamp_lstm,4.0,6.329090243592463,7.57608382229631,-2.747843009788637,-2.0
2,NV044,timestamp_lstm,4.0,8.025213219051203,9.619909781968378,-3.9863562464208706,12.0
2,NV039,pv_lstm,4.0,5.6021136516339,6.62193658481951,-2.4999947324574308,0.0
2,NV044,pv_lstm,4.0,5.422315264925846,6.384883845720418,-2.922437644730029,0.0
2,NV039,timestamp_cnn,4.0,5.2193585724289475,6.024251278316907,-2.2512138652452047,0.0
2,NV044,timestamp_cnn,4.0,5.226988270669247,6.104518848513292,-1.9463446002226088,5.0
2,NV039,pv_cnn,4.0,4.979650672044926,5.702186618117751,-2.0515520495498576,-1.0
2,NV044,pv_cnn,4.0,5.175203668367997,5.9763929548267845,-2.171658601830271,3.0
3,NV036,timestamp_lstm,4.0,8.677207801557728,10.718139553895035,-4.800971606993354,-2.0
3,NV041,timestamp_lstm,4.0,9.7233670878069,11.428573383293909,-3.43193934259656,-2.0
3,NV036,pv_lstm,4.0,5.534254305418289,6.665983214523007,-3.093293933948142,1.0
3,NV041,pv_lstm,4.0,9.54902626942907,11.123506365103367,-3.361246931591172,-2.0
3,NV036,timestamp_cnn,4.0,4.730007213174826,5.519506462074649,-1.7962469658913571,0.0
3,NV041,timestamp_cnn,4.0,6.8243429107479585,8.334493572010038,-0.7923567904365582,-3.0
3,NV036,pv_cnn,4.0,4.3325945039653675,5.093771569349763,-1.401463798189826,1.0
3,NV041,pv_cnn,4.0,4.3848178232714465,5.3333282469895344,0.3204860920510168,0.0
4,NV033,timestamp_lstm,4.0,8.182038659230262,10.08268232336663,-4.318170466028985,-7.0
4,NV042,timestamp_lstm,4.0,7.610237840591655,9.914830896617193,-1.2580144905318855,10.0
4,NV033,pv_lstm,4.0,5.407810486882002,6.50083909076645,-0.8461427335938565,-1.0
4,NV042,pv_lstm,4.0,4.258919307251134,5.113290915057182,-0.022456748849022694,0.0
4,NV033,timestamp_cnn,4.0,5.1171482267712305,6.605858165157093,-0.34848006352660166,-5.0
4,NV042,timestamp_cnn,4.0,4.264194431581023,5.107096984730507,-0.14341533792134106,0.0
4,NV033,pv_cnn,4.0,4.574759361466359,5.4001425449882285,-0.039015964832690556,-2.0
4,NV042,pv_cnn,4.0,4.109554122508289,4.975055055418762,0.06435001571083121,2.0
