repeat,subject,model,MAE,RMSE,R2
0,NV036,persistence,8.046506003804435,10.175703296763178,-1.1331062659828506
0,NV036,linear,12.579288775725196,16.97372601402665,-12.467491626725828
0,NV041,persistence,9.529253867455884,11.843893259753614,-0.8847931788032395
0,NV041,linear,16.7216074900974,22.388888527178153,-8.809908662597106
1,NV042,persistence,9.440850936241693,11.576588529576535,-1.013760567032123
1,NV042,linear,16.259563020972546,21.80429704298015,-10.98231138258827
1,NV043,persistence,9.10624719743491,11.183598026723644,-0.9702462078867737
1,NV043,linear,15.72787351178761,20.54569281719998,-12.230641506382662
2,NV033,persistence,9.090856072586782,11.571298806786741,-1.0910195138153074
2,NV033,linear,13.636551998769189,18.352127264554397,-9.715728941370314
2,NV044,persistence,7.347953827324975,9.181430105422226,-1.1916225944374177
2,NV044,linear,11.043875802091769,14.547126520505884,-7.813201844375698
3,NV038,persistence,8.640434253629333,10.68252402353998,-1.169972162007108
3,NV038,linear,14.381094127541253,19.034261058364738,-10.421915226102353
3,NV045,persistence,9.45457961522201,11.47504267455502,-1.4189690657225513
3,NV045,linear,17.269446256052724,22.475933596007437,-12.971729751769544
4,NV031,persistence,9.907043329192659,12.354286975814038,-0.9608962099947461
4,NV031,linear,17.56120064060184,24.010259738464008,-11.9138431758411
4,NV039,persistence,8.184109302172649,10.269148859991814,-1.1599206666037791
4,NV039,linear,13.382023181543381,17.897501772323338,-12.042662532007931
5,NV037,persistence,8.846675029755808,10.936882777798468,-1.0902420808014741
5,NV037,linear,15.184287100886738,21.944805846984465,-13.88779753847227
5,NV046,persistence,7.503125089781161,9.438051779154835,-1.0930355747602871
5,NV046,linear,11.01128452458611,15.194032909314213,-6.896101320540204
