repeat,subject,model,phase,MAE
0,NV033,timestamp_lstm,Loading Response,4.562101523081462
0,NV033,timestamp_lstm,Mid Stance,3.4101776811811657
0,NV033,timestamp_lstm,Terminal Stance,3.7824852052662106
0,NV033,timestamp_lstm,Pre- Swing,6.672302999430233
0,NV033,timestamp_lstm,Initial Swing,6.549142446782854
0,NV033,timestamp_lstm,Mid Swing,6.328189995553759
0,NV033,timestamp_lstm,Terminal Swing,4.989574415816201
0,NV042,timestamp_lstm,Loading Response,4.377951598829693
0,NV042,timestamp_lstm,Mid Stance,3.641766289869944
0,NV042,timestamp_lstm,Terminal Stance,3.5748794111940594
0,NV042,timestamp_lstm,Pre- Swing,6.118460151884291
0,NV042,timestamp_lstm,Initial Swing,5.765785723924637
0,NV042,timestamp_lstm,Mid Swing,3.481615914238824
0,NV042,timestamp_lstm,Terminal Swing,4.816443082359102
0,NV033,pv_lstm,Loading Response,4.263543489906523
0,NV033,pv_lstm,Mid Stance,3.712009694841173
0,NV033,pv_lstm,Terminal Stance,4.8391470776663885
0,NV033,pv_lstm,Pre- Swing,7.068338056405385
0,NV033,pv_lstm,Initial Swing,6.607009470462799
0,NV033,pv_lstm,Mid Swing,6.357506533463796
0,NV033,pv_lstm,Terminal Swing,4.6131365696589155
0,NV042,pv_lstm,Loading Response,3.847598671913147
0,NV042,pv_lstm,Mid Stance,2.844451089700063
0,NV042,pv_lstm,Terminal Stance,2.3808698852856955
0,NV042,pv_lstm,Pre- Swing,3.8244090245829687
0,NV042,pv_lstm,Initial Swing,4.918167687124676
0,NV042,pv_lstm,Mid Swing,3.0727981991238065
0,NV042,pv_lstm,Terminal Swing,4.458541201220618
0,NV033,timestamp_cnn,Loading Response,3.728713179628054
0,NV033,timestamp_cnn,Mid Stance,3.2165280199713178
0,NV033,timestamp_cnn,Terminal Stance,3.4929407371415033
0,NV033,timestamp_cnn,Pre- Swing,4.620229386621052
0,NV033,timestamp_cnn,Initial Swing,6.41740569141176
0,NV033,timestamp_cnn,Mid Swing,7.013566490676668
0,NV033,timestamp_cnn,Terminal Swing,4.662007328536776
0,NV042,timestamp_cnn,Loading Response,3.9420346683926053
0,NV042,timestamp_cnn,Mid Stance,2.737175484498342
0,NV042,timestamp_cnn,Terminal Stance,3.051339245504803
0,NV042,timestamp_cnn,Pre- Swing,4.556076371007496
