repeat,subject,model,MAE,RMSE,R2,sag_MAE,sag_RMSE,sag_R2
0,NV033,timestamp_lstm,4.936768531799316,5.960794925689697,-0.21654850244522095,8.483290672302246,10.330775260925293,0.5088741183280945
0,NV042,timestamp_lstm,4.3000335693359375,5.220241069793701,-0.11269842088222504,4.144805431365967,5.1904730796813965,0.8499085307121277
0,NV033,pv_lstm,5.189138889312744,6.296927452087402,-0.5645702481269836,8.539134979248047,10.457362174987793,0.5244560837745667
0,NV042,pv_lstm,3.4264438152313232,4.23439359664917,0.2420104295015335,3.1300790309906006,3.8491790294647217,0.9236716628074646
0,NV033,timestamp_cnn,4.620285987854004,5.513225555419922,-0.13570387661457062,7.691004276275635,9.00053882598877,0.6192329525947571
0,NV042,timestamp_cnn,3.560159921646118,4.38526725769043,0.24328483641147614,3.364894151687622,4.252192974090576,0.9105526804924011
0,NV033,pv_cnn,4.598688125610352,5.553327560424805,-0.4246033728122711,7.597997188568115,9.085043907165527,0.6254574656486511
0,NV042,pv_cnn,3.383645534515381,4.173228740692139,0.2501743733882904,2.8509998321533203,3.6755599975585938,0.9209966063499451
1,NV031,timestamp_lstm,8.113059997558594,9.369388580322266,-3.0639402866363525,5.992240905761719,7.956056118011475,0.7239647507667542
1,NV041,timestamp_lstm,4.4480814933776855,5.510422229766846,0.18405821919441223,4.205750942230225,5.346685886383057,0.7428845763206482
1,NV031,pv_lstm,7.712704181671143,9.02547550201416,-2.895965576171875,5.66469144821167,7.559319019317627,0.7348949909210205
1,NV041,pv_lstm,4.198450088500977,5.228432655334473,0.3536868393421173,4.123445510864258,5.297929286956787,0.7272351384162903
1,NV031,timestamp_cnn,8.721732139587402,9.939350128173828,-3.3485398292541504,6.899439334869385,8.917664527893066,0.666889488697052
1,NV041,timestamp_cnn,4.127662658691406,5.093969821929932,0.44028204679489136,4.314457416534424,5.449305057525635,0.7801782488822937
1,NV031,pv_cnn,7.872954368591309,9.235184669494629,-2.529602289199829,6.996250152587891,9.008465766906738,0.6483010053634644
1,NV041,pv_cnn,4.167839050292969,5.197519302368164,0.3567885458469391,4.211893081665039,5.348018646240234,0.7629823088645935
2,NV044,timestamp_lstm,5.3530354499816895,6.265092849731445,-1.8012347221374512,7.02556037902832,8.479952812194824,0.497953861951828
2,NV046,timestamp_lstm,3.400151252746582,4.224273204803467,-0.2418103814125061,4.576904773712158,5.558521747589111,0.7653453350067139
2,NV044,pv_lstm,5.780792713165283,6.853549957275391,-2.223024368286133,8.037233352661133,9.890645027160645,0.33667826652526855
2,NV046,pv_lstm,3.2519750595092773,3.9407641887664795,0.011899222619831562,4.588369846343994,5.524730682373047,0.7927424907684326
2,NV044,timestamp_cnn,5.060523509979248,5.821749687194824,-1.094494104385376,6.0019378662109375,7.301929950714111,0.6203920245170593
2,NV046,timestamp_cnn,2.9907567501068115,3.5922365188598633,0.36576908826828003,4.7230610847473145,5.633023738861084,0.7886425852775574
2,NV044,pv_cnn,4.923497676849365,5.5846757888793945,-1.3692457675933838,5.3958868980407715,6.408195972442627,0.6912088990211487
2,NV046,pv_cnn,2.860492467880249,3.4284157752990723,0.32518279552459717,4.1121649742126465,4.857309341430664,0.8379244208335876
3,NV036,timestamp_lstm,4.308523178100586,5.109019756317139,-1.5907381772994995,3.8103246688842773,4.637731552124023,0.8126210570335388
3,NV045,timestamp_lstm,4.07684850692749,5.0421576499938965,0.22270427644252777,5.004337310791016,6.241490840911865,0.7542749047279358
3,NV036,pv_lstm,4.569026470184326,5.341733932495117,-1.571174144744873,4.468177318572998,5.448551177978516,0.770240306854248
3,NV045,pv_lstm,4.242094039916992,5.290574550628662,0.19328421354293823,5.509497165679932,6.965000629425049,0.7004895210266113
3,NV036,timestamp_cnn,3.9953863620758057,4.688630104064941,-1.1168922185897827,3.297102928161621,4.023464679718018,0.8700628280639648
3,NV045,timestamp_cnn,3.7009761333465576,4.559111595153809,0.3405858874320984,4.223755359649658,5.291395664215088,0.820523202419281
3,NV036,pv_cnn,4.302412033081055,5.083719730377197,-1.7494453191757202,3.6556742191314697,4.5647664070129395,0.8513224720954895
3,NV045,pv_cnn,3.790782928466797,4.6988606452941895,0.27980852127075195,4.306986331939697,5.321406841278076,0.810387372970581
4,NV037,timestamp_lstm,7.209169387817383,8.454535484313965,-1.7398314476013184,7.735217571258545,9.753437042236328,0.39892879128456116
4,NV038,timestamp_lstm,4.947021007537842,5.952404499053955,-1.1947789192199707,4.7600417137146,5.931192874908447,0.6711792945861816
4,NV037,pv_lstm,7.504752159118652,8.531365394592285,-1.5924538373947144,8.569232940673828,10.106635093688965,0.45728063583374023
4,NV038,pv_lstm,4.957075119018555,5.933061599731445,-1.2426633834838867,4.685985088348389,5.628746032714844,0.6048576831817627
4,NV037,timestamp_cnn,7.362650394439697,8.30268383026123,-1.9576021432876587,7.18611478805542,8.79496955871582,0.571177065372467
4,NV038,timestamp_cnn,4.666614532470703,5.568716049194336,-1.0746004581451416,3.6405365467071533,4.4571003913879395,0.753292977809906
4,NV037,pv_cnn,7.588865280151367,8.590400695800781,-2.775663137435913,7.444615840911865,9.205857276916504,0.4584437906742096
4,NV038,pv_cnn,4.8405022621154785,5.7233757972717285,-1.2598838806152344,4.235650539398193,5.139126300811768,0.7036333680152893
5,NV039,timestamp_lstm,5.793291091918945,6.845085620880127,-2.2767581939697266,6.9022297859191895,8.827720642089844,0.6095035672187805
5,NV043,timestamp_lstm,5.000207901000977,5.97087287902832,-0.6355443596839905,5.195619106292725,6.550854206085205,0.7209728360176086
5,NV039,pv_lstm,5.6985979080200195,6.678696632385254,-2.4156198501586914,5.836761951446533,7.218009948730469,0.7484318614006042
